#,Game,Players_2_weeks,Hours_2_weeks,Players_total,Hours_total,Share,Tag,top3_tag
1,Counter-Strike: Global Offensive,27.4%,10:12,42.39%,379:25,109.12‱,"Shooter,Strategy","Open World,Shooter,Atmospheric"
2,PLAYERUNKNOWN'S BATTLEGROUNDS,22.32%,11:21,16.47%,134:41,42.22‱,"Stealth,Shooter,Strategy","Open World,Shooter,Atmospheric"
3,Rocket League,7.14%,08:41,12.49%,118:34,32.66‱,Sports,"Open World,Shooter,Atmospheric"
4,Tom Clancy's Rainbow Six Siege,5.67%,14:16,6.07%,130:08,15.69‱,"Atmospheric,Shooter,Strategy","Open World,Shooter,Atmospheric"
5,Grand Theft Auto V,4.98%,07:41,9.74%,145:57,25.11‱,"Atmospheric,Open World,Shooter","Open World,Shooter,Atmospheric"
6,Dota 2,4.46%,22:47,22.78%,275:02,57.89‱,"Fantasy,MOBA,Strategy","Open World,Shooter,Atmospheric"
7,ARK: Survival Evolved,4.37%,20:46,11.67%,172:37,30.16‱,"Crafting,Open World,Sci-fi","Open World,Shooter,Atmospheric"
8,Garry's Mod,3.84%,07:13,18.11%,84:28,48.75‱,Shooter,"Open World,Shooter,Atmospheric"
9,Euro Truck Simulator 2,3.73%,09:05,8.62%,100:25,22.84‱,"Atmospheric,Open World","Open World,Shooter,Atmospheric"
10,Arma 3,3.35%,16:37,9.65%,269:06,24.99‱,"Open World,Shooter,Strategy","Open World,Shooter,Atmospheric"
11,Wallpaper Engine,2.98%,01:43,3.39%,13:56,8.67‱,"Open World,Shooter,Anime,Software","Open World,Shooter,Atmospheric"
12,H1Z1,2.57%,03:49,7.01%,47:07,22.58‱,"Open World,Zombies,Shooter,Gore","Open World,Shooter,Atmospheric"
13,Warframe,2.43%,11:40,11.29%,80:22,38.07‱,"Shooter,Sci-fi","Open World,Shooter,Atmospheric"
14,Team Fortress 2,2.32%,11:19,25.82%,85:37,65.62‱,"Crafting,Shooter","Open World,Shooter,Atmospheric"
15,War Thunder,2.09%,07:41,8.66%,57:46,30.2‱,"Open World,Shooter,Strategy","Open World,Shooter,Atmospheric"
16,Far Cry 5,2.03%,20:23,0.77%,20:23,1.95‱,"Atmospheric,Female Protagonist,Open World,Stealth,Shooter","Open World,Shooter,Atmospheric"
17,Terraria,1.94%,06:52,10.54%,69:29,27.6‱,"Atmospheric,Crafting,Open World","Open World,Shooter,Atmospheric"
18,Paladins,1.84%,04:40,9.08%,21:11,27.07‱,"Shooter,Fantasy,Anime,MOBA,Strategy","Open World,Shooter,Atmospheric"
19,Path of Exile,1.82%,23:48,8.63%,81:21,27.71‱,Fantasy,"Open World,Shooter,Atmospheric"
20,Dead by Daylight,1.8%,08:18,4.58%,60:05,12.21‱,"Atmospheric,Stealth,Gore,Strategy","Open World,Shooter,Atmospheric"
21,Cities: Skylines,1.77%,05:27,8.72%,39:42,22.67‱,"City Builder,Strategy","Open World,Shooter,Atmospheric"
22,Call of Duty: Black Ops II,1.66%,02:46,9.81%,116:36,25.85‱,"Atmospheric,Shooter,Sci-fi","Open World,Shooter,Atmospheric"
23,The Forest,1.64%,03:43,8.92%,29:17,23.01‱,"Atmospheric,Crafting,Open World,Zombies,Gore","Open World,Shooter,Atmospheric"
24,Fallout 4,1.62%,08:44,7.61%,97:40,19.61‱,"Atmospheric,Open World,Shooter,Sci-fi","Open World,Shooter,Atmospheric"
25,The Elder Scrolls V: Skyrim,1.62%,11:41,15.93%,116:05,41.6‱,"Atmospheric,Open World,Fantasy,Medieval","Open World,Shooter,Atmospheric"
26,Kingdom Come: Deliverance,1.61%,08:08,1.71%,37:11,4.47‱,"Atmospheric,Kickstarter,Open World,Medieval","Open World,Shooter,Atmospheric"
27,Age of Empires II HD,1.57%,06:16,8.09%,39:40,21.75‱,"Remake,Medieval,City Builder,Strategy","Open World,Shooter,Atmospheric"
28,Spellsworn,1.52%,02:50,0.63%,02:38,1.86‱,"Fantasy,MOBA","Open World,Shooter,Atmospheric"
29,Counter-Strike: Source,1.5%,04:51,22.61%,209:00,64.51‱,"Atmospheric,Shooter,Strategy","Open World,Shooter,Atmospheric"
30,Hearts of Iron IV,1.46%,14:01,1.76%,135:20,4.56‱,"Open World,Diplomacy,Strategy","Open World,Shooter,Atmospheric"
31,Warhammer: Vermintide 2,1.44%,14:28,0.83%,29:03,2.19‱,"Atmospheric,Open World,Fantasy,Gore","Open World,Shooter,Atmospheric"
32,Brawlhalla,1.41%,02:54,8.47%,12:29,22.98‱,Fighting,"Open World,Shooter,Atmospheric"
33,Borderlands 2,1.41%,08:05,11.87%,64:16,31.96‱,"Atmospheric,Open World,Shooter,Sci-fi","Open World,Shooter,Atmospheric"
34,Sid Meiers Civilization VI,1.41%,09:28,3.14%,57:45,8.52‱,"Atmospheric,City Builder,Strategy","Open World,Shooter,Atmospheric"
35,Call of Duty: Black Ops III,1.37%,06:16,4.98%,97:59,12.87‱,"Atmospheric,Open World,Zombies,Shooter,Gore,Sci-fi","Open World,Shooter,Atmospheric"
36,Call of Duty: WWII,1.36%,08:08,2.14%,59:51,5.94‱,"Female Protagonist,Open World,Zombies,Shooter,Gore","Open World,Shooter,Atmospheric"
37,ShellShock Live,1.34%,01:22,5.7%,26:37,14.68‱,"Shooter,Strategy","Open World,Shooter,Atmospheric"
38,Europa Universalis IV,1.32%,17:39,1.92%,243:20,5.07‱,"Open World,Medieval,Diplomacy,Strategy","Open World,Shooter,Atmospheric"
39,Sid Meier's Civilization V,1.3%,08:26,8.87%,124:22,23.78‱,"Diplomacy,Strategy","Open World,Shooter,Atmospheric"
40,Battlerite,1.25%,05:27,3.73%,14:38,12.33‱,"Atmospheric,Fighting,MOBA,Strategy","Open World,Shooter,Atmospheric"
41,Rust,1.23%,11:33,7.24%,97:20,19.39‱,"Crafting,Open World,Shooter","Open World,Shooter,Atmospheric"
42,Stellaris,1.23%,12:29,2.3%,107:29,6.18‱,"Atmospheric,Open World,Sci-fi,Strategy","Open World,Shooter,Atmospheric"
43,Stick Fight: The Game,1.2%,01:14,2.83%,05:03,7.41‱,"Shooter,Fighting,Strategy","Open World,Shooter,Atmospheric"
44,PAYDAY 2,1.18%,03:55,15%,48:15,46.54‱,"Stealth,Shooter,Strategy","Open World,Shooter,Atmospheric"
45,The Binding of Isaac: Rebirth,1.14%,04:03,3.25%,105:56,8.38‱,"Atmospheric,Remake,Gore","Open World,Shooter,Atmospheric"
46,DARK SOULS III,1.14%,08:18,2.9%,76:00,8.11‱,"Atmospheric,Open World","Open World,Shooter,Atmospheric"
47,Farming Simulator 17,1.14%,12:44,1.81%,135:19,4.61‱,"Female Protagonist,Open World,Strategy","Open World,Shooter,Atmospheric"
48,The Elder Scrolls V: Skyrim Special Edition,1.11%,08:08,4.85%,31:47,22.33‱,"Atmospheric,Female Protagonist,Open World,Remake,Stealth,Fantasy","Open World,Shooter,Atmospheric"
49,Factorio,1.07%,15:03,2.81%,84:38,7.24‱,"Crafting,Open World,Sci-fi,Strategy","Open World,Shooter,Atmospheric"
50,The Witcher 3: Wild Hunt,1.05%,08:33,5.15%,71:49,14.25‱,"Atmospheric,Open World,Fantasy,Medieval","Open World,Shooter,Atmospheric"
