#,Game,Players_2_weeks,Hours_2_weeks,Players_total,Hours_total,Share,Tag,top3_tag
1,Counter-Strike: Global Offensive,37.53%,14:17,38.51%,404:16,147.4‱,"Shooter,Strategy","Shooter,Atmospheric,Strategy"
2,Dota 2,31.75%,22:52,63.5%,539:42,241.11‱,"Fantasy,MOBA,Strategy","Shooter,Atmospheric,Strategy"
3,PLAYERUNKNOWN'S BATTLEGROUNDS,15.28%,18:12,6.98%,168:08,26.69‱,"Stealth,Shooter,Strategy","Shooter,Atmospheric,Strategy"
4,Grand Theft Auto V,6.51%,08:47,8.52%,163:24,32.77‱,"Atmospheric,Open World,Shooter","Shooter,Atmospheric,Strategy"
5,Garry's Mod,3.74%,12:24,11.54%,100:54,45.25‱,Shooter,"Shooter,Atmospheric,Strategy"
6,Counter-Strike,3.41%,10:36,13.68%,252:15,66.96‱,"Shooter,Strategy","Shooter,Atmospheric,Strategy"
7,Paladins,2.79%,07:48,10.71%,27:58,47.07‱,"Shooter,Fantasy,Anime,MOBA,Strategy","Shooter,Atmospheric,Strategy"
8,War Thunder,2.64%,09:25,10.37%,49:49,59.35‱,"Open World,Shooter,Strategy","Shooter,Atmospheric,Strategy"
9,Unturned,2.64%,09:57,20.31%,31:20,95.71‱,"Atmospheric,Crafting,Open World,Zombies,Shooter","Shooter,Atmospheric,Strategy"
10,Rust,2.63%,16:03,8.03%,153:19,31.01‱,"Crafting,Open World,Shooter","Shooter,Atmospheric,Strategy"
11,Tom Clancy's Rainbow Six Siege,2.61%,11:31,2.21%,117:45,8.61‱,"Atmospheric,Shooter,Strategy","Shooter,Atmospheric,Strategy"
12,Team Fortress 2,2.57%,10:11,25.52%,68:04,96.92‱,"Crafting,Shooter","Shooter,Atmospheric,Strategy"
13,Warframe,2.56%,18:09,11.57%,88:43,62.66‱,"Shooter,Sci-fi","Shooter,Atmospheric,Strategy"
14,Rocket League,2.33%,08:48,3.31%,87:48,12.78‱,Sports,"Shooter,Atmospheric,Strategy"
15,World of Tanks Blitz,2.2%,11:19,4.58%,47:06,21.93‱,"Open World,Shooter,Strategy","Shooter,Atmospheric,Strategy"
16,Counter-Strike: Source,2.17%,10:28,12.92%,188:21,66.16‱,"Atmospheric,Shooter,Strategy","Shooter,Atmospheric,Strategy"
17,Left 4 Dead 2,2.07%,05:25,14.55%,43:19,61.27‱,"Zombies,Shooter,Gore","Shooter,Atmospheric,Strategy"
18,H1Z1,2.03%,02:04,3.15%,17:18,16.65‱,"Open World,Zombies,Shooter,Gore","Shooter,Atmospheric,Strategy"
19,Euro Truck Simulator 2,1.97%,07:08,4.39%,89:18,17.2‱,"Atmospheric,Open World","Shooter,Atmospheric,Strategy"
20,Wallpaper Engine,1.8%,02:02,1.7%,23:16,6.54‱,"Open World,Shooter,Anime,Software","Shooter,Atmospheric,Strategy"
21,Terraria,1.78%,09:13,7%,68:26,27.54‱,"Atmospheric,Crafting,Open World","Shooter,Atmospheric,Strategy"
22,Crossout,1.72%,09:10,3.87%,28:36,17.06‱,"Crafting,Open World,Shooter,Gore,Strategy","Shooter,Atmospheric,Strategy"
23,PAYDAY 2,1.69%,05:15,13.34%,48:51,58.62‱,"Stealth,Shooter,Strategy","Shooter,Atmospheric,Strategy"
24,Dead by Daylight,1.62%,10:10,2.39%,96:46,9.33‱,"Atmospheric,Stealth,Gore,Strategy","Shooter,Atmospheric,Strategy"
25,The Darkness II,1.54%,03:17,1.24%,06:01,10.92‱,"Atmospheric,Shooter,Gore","Shooter,Atmospheric,Strategy"
26,Path of Exile,1.51%,24:01,4.79%,59:11,26.85‱,Fantasy,"Shooter,Atmospheric,Strategy"
27,Spec Ops: The Line,1.44%,03:12,1.18%,06:12,11.4‱,"Atmospheric,Shooter","Shooter,Atmospheric,Strategy"
28,Far Cry 5,1.35%,19:02,0.41%,19:02,1.56‱,"Atmospheric,Female Protagonist,Open World,Stealth,Shooter","Shooter,Atmospheric,Strategy"
29,The Witcher 3: Wild Hunt,1.32%,09:30,3.17%,114:15,13.33‱,"Atmospheric,Open World,Fantasy,Medieval","Shooter,Atmospheric,Strategy"
30,Insurgency,1.31%,02:03,4.63%,15:28,19.87‱,"Atmospheric,Shooter,Strategy","Shooter,Atmospheric,Strategy"
31,The Elder Scrolls V: Skyrim,1.24%,06:38,6.68%,106:51,26.61‱,"Atmospheric,Open World,Fantasy,Medieval","Shooter,Atmospheric,Strategy"
32,Heroes & Generals,1.14%,08:58,12.36%,16:50,62.52‱,"Atmospheric,Open World,Shooter,Strategy","Shooter,Atmospheric,Strategy"
33,Battlerite,1.04%,03:57,2.44%,13:30,12.63‱,"Atmospheric,Fighting,MOBA,Strategy","Shooter,Atmospheric,Strategy"
34,Crusader Kings II,1%,03:22,0.67%,46:19,6.59‱,"Medieval,Diplomacy,Strategy","Shooter,Atmospheric,Strategy"
35,Sid Meier's Civilization V,0.96%,10:59,4.58%,111:30,18.18‱,"Diplomacy,Strategy","Shooter,Atmospheric,Strategy"
36,Warhammer: Vermintide 2,0.96%,13:39,0.49%,26:54,1.96‱,"Atmospheric,Open World,Fantasy,Gore","Shooter,Atmospheric,Strategy"
37,Don't Starve Together,0.93%,05:01,4.44%,28:26,19.59‱,"Atmospheric,Crafting,Open World,Strategy","Shooter,Atmospheric,Strategy"
38,HITMAN,0.86%,09:51,1.13%,20:33,7.07‱,"Atmospheric,Open World,Stealth,Shooter,Strategy","Shooter,Atmospheric,Strategy"
39,Arma 3,0.83%,18:24,2.15%,260:13,8.26‱,"Open World,Shooter,Strategy","Shooter,Atmospheric,Strategy"
40,Geometry Dash,0.82%,04:28,1.09%,44:50,4.37‱,Strategy,"Shooter,Atmospheric,Strategy"
41,VRChat,0.81%,04:20,3.24%,02:55,14.95‱,"Open World,Anime,VR,Sports","Shooter,Atmospheric,Strategy"
42,Tomb Raider,0.79%,04:06,3.92%,14:07,17.79‱,"Atmospheric,Female Protagonist,Stealth,Shooter","Shooter,Atmospheric,Strategy"
43,Black Squad,0.79%,09:52,2.59%,15:30,13.47‱,"Open World,Shooter,Gore,Strategy","Shooter,Atmospheric,Strategy"
44,F1 2015,0.7%,02:55,0.31%,03:50,4.38‱,Sports,"Shooter,Atmospheric,Strategy"
45,Fallout Shelter,0.69%,07:08,4.46%,17:30,22.54‱,"Atmospheric,Crafting,Strategy","Shooter,Atmospheric,Strategy"
46,Fallout 4,0.68%,07:39,2.19%,106:58,8.73‱,"Atmospheric,Open World,Shooter,Sci-fi","Shooter,Atmospheric,Strategy"
47,Dying Light,0.68%,07:07,2.7%,39:31,10.72‱,"Atmospheric,Crafting,Open World,Stealth,Zombies,Shooter,Gore","Shooter,Atmospheric,Strategy"
48,Mortal Kombat X,0.68%,05:20,1.87%,21:06,7.75‱,"Atmospheric,Female Protagonist,Fantasy,Gore,Fighting","Shooter,Atmospheric,Strategy"
49,Brawlhalla,0.67%,08:08,2.73%,17:56,11.61‱,Fighting,"Shooter,Atmospheric,Strategy"
50,The Forest,0.66%,06:07,3.08%,23:12,11.94‱,"Atmospheric,Crafting,Open World,Zombies,Gore","Shooter,Atmospheric,Strategy"
