#,Game,Players_2_weeks,Hours_2_weeks,Players_total,Hours_total,Share,Tag
1,PLAYERUNKNOWN'S BATTLEGROUNDS,23.93%,11:12,18.37%,159:10,37‱,"Stealth,Shooter,Strategy"
2,Counter-Strike: Global Offensive,21.96%,10:05,36.66%,324:16,74.98‱,"Shooter,Strategy"
3,Dota 2,9.23%,22:37,31.02%,426:40,61.58‱,"Fantasy,MOBA,Strategy"
4,Tom Clancy's Rainbow Six Siege,7.4%,11:12,6.73%,102:11,13.98‱,"Atmospheric,Shooter,Strategy"
5,Garry's Mod,5.53%,09:16,24.92%,136:06,52.82‱,Shooter
6,Rocket League,5.29%,08:13,11.56%,84:20,23.67‱,Sports
7,Team Fortress 2,4.32%,12:40,42.96%,129:32,85.28‱,"Crafting,Shooter"
8,Warframe,3.7%,17:31,13.64%,107:14,38.24‱,"Shooter,Sci-fi"
9,Terraria,3.32%,06:25,19.5%,92:20,40.41‱,"Atmospheric,Crafting,Open World"
10,Far Cry 5,3.27%,22:22,1.12%,22:22,2.27‱,"Atmospheric,Female Protagonist,Open World,Stealth,Shooter"
11,Wallpaper Engine,3.03%,04:03,3.62%,28:20,7.29‱,"Open World,Shooter,Anime,Software"
12,Grand Theft Auto V,3.03%,06:08,9.34%,115:21,18.84‱,"Atmospheric,Open World,Shooter"
13,Rust,2.88%,08:42,13%,122:09,27.34‱,"Crafting,Open World,Shooter"
14,Warhammer: Vermintide 2,2.74%,10:42,1.37%,22:42,2.86‱,"Atmospheric,Open World,Fantasy,Gore"
15,Sid Meier's Civilization V,2.5%,09:17,12.75%,124:12,27.41‱,"Diplomacy,Strategy"
16,Fallout 4,2.26%,11:48,9.66%,112:52,19.96‱,"Atmospheric,Open World,Shooter,Sci-fi"
17,Sid Meiers Civilization VI,2.26%,14:30,4.73%,62:51,10.54‱,"Atmospheric,City Builder,Strategy"
18,Arma 3,2.21%,11:54,7.82%,146:57,15.92‱,"Open World,Shooter,Strategy"
19,ARK: Survival Evolved,2.11%,17:41,9.36%,156:26,19.24‱,"Crafting,Open World,Sci-fi"
20,H1Z1,2.07%,02:53,5.87%,59:24,16.35‱,"Open World,Zombies,Shooter,Gore"
21,Paladins,1.92%,05:41,8.6%,27:31,20.25‱,"Shooter,Fantasy,Anime,MOBA,Strategy"
22,War Thunder,1.92%,07:28,8.8%,71:54,25.67‱,"Open World,Shooter,Strategy"
23,Unturned,1.83%,05:06,21.88%,31:08,52‱,"Atmospheric,Crafting,Open World,Zombies,Shooter"
24,Age of Empires II HD,1.78%,06:24,9.91%,39:37,21.7‱,"Remake,Medieval,City Builder,Strategy"
25,Borderlands 2,1.73%,03:46,14.01%,59:16,30.17‱,"Atmospheric,Open World,Shooter,Sci-fi"
26,Hearts of Iron IV,1.68%,13:13,1.87%,147:11,3.81‱,"Open World,Diplomacy,Strategy"
27,The Elder Scrolls V: Skyrim Special Edition,1.63%,14:27,6.07%,42:06,22.16‱,"Atmospheric,Female Protagonist,Open World,Remake,Stealth,Fantasy"
28,The Elder Scrolls V: Skyrim,1.54%,12:02,17%,113:06,34.83‱,"Atmospheric,Open World,Fantasy,Medieval"
29,Stick Fight: The Game,1.44%,00:48,2.88%,05:47,6.04‱,"Shooter,Fighting,Strategy"
30,The Binding of Isaac: Rebirth,1.39%,05:32,3.51%,126:04,7.09‱,"Atmospheric,Remake,Gore"
31,DARK SOULS III,1.39%,07:44,4.1%,60:58,9.62‱,"Atmospheric,Open World"
32,PAYDAY 2,1.35%,16:00,14.65%,57:36,36.27‱,"Stealth,Shooter,Strategy"
33,Stellaris,1.3%,12:18,3.16%,83:20,7.06‱,"Atmospheric,Open World,Sci-fi,Strategy"
34,RimWorld,1.25%,11:36,2.22%,105:00,4.46‱,"Atmospheric,Crafting,Open World,Sci-fi,Strategy"
35,Kerbal Space Program,1.25%,07:39,5.18%,58:29,10.7‱,"Open World,Sci-fi,Strategy"
36,Kingdom Come: Deliverance,1.2%,10:02,1.16%,35:27,2.56‱,"Atmospheric,Kickstarter,Open World,Medieval"
37,Path of Exile,1.2%,34:29,8.04%,66:38,22.49‱,Fantasy
38,Brawlhalla,1.2%,02:44,7.54%,09:27,16.51‱,Fighting
39,Killing Floor 2,1.2%,06:55,3.84%,34:31,8.96‱,"Atmospheric,Zombies,Shooter,Gore"
40,Left 4 Dead 2,1.2%,02:50,20.51%,26:50,45.86‱,"Zombies,Shooter,Gore"
41,Factorio,1.2%,17:13,2.73%,85:41,5.55‱,"Crafting,Open World,Sci-fi,Strategy"
42,The Witcher 3: Wild Hunt,1.2%,05:06,6.05%,58:46,13.23‱,"Atmospheric,Open World,Fantasy,Medieval"
43,Slay the Spire,1.2%,10:03,0.69%,33:53,1.38‱,Strategy
44,Battlerite,1.15%,04:50,3.85%,22:24,9.59‱,"Atmospheric,Fighting,MOBA,Strategy"
45,Portal 2,1.11%,01:40,15.73%,16:37,36.73‱,"Atmospheric,Female Protagonist,Sci-fi,Strategy"
46,Cities: Skylines,1.01%,04:03,7.33%,43:28,15.3‱,"City Builder,Strategy"
47,Total War: WARHAMMER II,1.01%,24:09,1.5%,82:05,3.12‱,"Atmospheric,Warhammer 40K,Fantasy,Strategy"
48,Crusader Kings II,1.01%,05:55,2.63%,68:56,8.8‱,"Medieval,Diplomacy,Strategy"
49,The Forest,0.96%,03:58,7.03%,19:06,14.61‱,"Atmospheric,Crafting,Open World,Zombies,Gore"
50,PlanetSide 2,0.96%,04:42,9.36%,55:39,26.36‱,"Open World,Shooter,Sci-fi,Strategy"
