#,Game,Players (2 weeks),Hours (2 weeks),Players (total),Hours (total),Share,Tag
1,PLAYERUNKNOWN'S BATTLEGROUNDS,27.01%,17:04,18.5%,215:44,43.95‱,"Stealth,Shooter,Strategy"
2,Counter-Strike: Global Offensive,18.2%,10:45,33.27%,354:14,81.41‱,"Shooter,Strategy"
3,Dota 2,8.16%,20:51,32.6%,336:40,76.98‱,"Fantasy,MOBA,Strategy"
4,Tom Clancy's Rainbow Six Siege,6.5%,11:36,6.42%,114:12,15.65‱,"Atmospheric,Shooter,Strategy"
5,Rocket League,5.16%,08:10,9.57%,102:54,23.79‱,Sports
6,Grand Theft Auto V,4.72%,09:07,10.38%,123:35,25.04‱,"Atmospheric,Open World,Shooter"
7,Garry's Mod,4.21%,08:40,19.71%,137:03,49.85‱,Shooter
8,Team Fortress 2,2.95%,12:03,35.5%,106:27,83.82‱,"Crafting,Shooter"
9,Sid Meier's Civilization V,2.62%,10:37,14.06%,164:02,35.15‱,"Diplomacy,Strategy"
10,Wallpaper Engine,2.62%,01:45,3.35%,24:03,8.03‱,"Open World,Shooter,Anime,Software"
11,H1Z1,2.54%,06:23,7.74%,65:29,23.61‱,"Open World,Zombies,Shooter,Gore"
12,Warframe,2.41%,15:13,13.32%,79:46,42‱,"Shooter,Sci-fi"
13,Terraria,2.18%,09:29,15.5%,91:10,38.38‱,"Atmospheric,Crafting,Open World"
14,Far Cry 5,2.18%,17:20,0.79%,17:20,1.95‱,"Atmospheric,Female Protagonist,Open World,Stealth,Shooter"
15,Rust,2.16%,18:05,8.65%,125:45,21.53‱,"Crafting,Open World,Shooter"
16,Warhammer: Vermintide 2,2.11%,09:49,1.14%,24:50,2.79‱,"Atmospheric,Open World,Fantasy,Gore"
17,Fallout 4,1.9%,13:52,7.66%,123:16,18.76‱,"Atmospheric,Open World,Shooter,Sci-fi"
18,The Elder Scrolls V: Skyrim,1.87%,08:36,14.55%,108:38,35.83‱,"Atmospheric,Open World,Fantasy,Medieval"
19,Path of Exile,1.87%,22:05,9.18%,91:52,27.93‱,Fantasy
20,Left 4 Dead 2,1.82%,03:15,19.04%,34:11,51.22‱,"Zombies,Shooter,Gore"
21,ARK: Survival Evolved,1.64%,29:56,7.1%,152:49,17.53‱,"Crafting,Open World,Sci-fi"
22,Slay the Spire,1.62%,08:40,1.14%,37:52,2.76‱,Strategy
23,Sid Meiers Civilization VI,1.59%,28:32,4.18%,97:52,11.17‱,"Atmospheric,City Builder,Strategy"
24,PAYDAY 2,1.49%,02:54,13.21%,51:08,38.58‱,"Stealth,Shooter,Strategy"
25,Borderlands 2,1.46%,07:25,12.63%,57:55,32.61‱,"Atmospheric,Open World,Shooter,Sci-fi"
26,Brawlhalla,1.46%,03:53,8.46%,18:51,21.79‱,Fighting
27,War Thunder,1.36%,16:27,8.77%,63:02,28.68‱,"Open World,Shooter,Strategy"
28,DARK SOULS III,1.36%,08:47,3.7%,71:01,10.53‱,"Atmospheric,Open World"
29,Crusader Kings II,1.34%,05:17,2.56%,106:54,9.87‱,"Medieval,Diplomacy,Strategy"
30,The Elder Scrolls V: Skyrim Special Edition,1.34%,05:52,5.02%,38:47,21.15‱,"Atmospheric,Female Protagonist,Open World,Remake,Stealth,Fantasy"
31,Battlerite,1.34%,03:40,4.14%,18:07,11.78‱,"Atmospheric,Fighting,MOBA,Strategy"
32,Stellaris,1.31%,15:58,2.6%,101:56,6.8‱,"Atmospheric,Open World,Sci-fi,Strategy"
33,Hearts of Iron IV,1.31%,12:33,1.27%,150:05,3.09‱,"Open World,Diplomacy,Strategy"
34,Stardew Valley,1.28%,09:29,6.53%,53:58,16.41‱,"Atmospheric,Crafting,Open World"
35,Unturned,1.21%,05:03,19.68%,31:18,56.26‱,"Atmospheric,Crafting,Open World,Zombies,Shooter"
36,VRChat,1.16%,11:47,4.13%,08:55,11.45‱,"Open World,Anime,VR,Sports"
37,Arma 3,1.16%,15:52,4.83%,156:17,11.65‱,"Open World,Shooter,Strategy"
38,Paladins,1.16%,04:22,8.57%,19:35,23.74‱,"Shooter,Fantasy,Anime,MOBA,Strategy"
39,Cities: Skylines,1.13%,08:11,5.63%,50:14,14.09‱,"City Builder,Strategy"
40,Killing Floor 2,1.1%,05:42,3.2%,41:55,8.62‱,"Atmospheric,Zombies,Shooter,Gore"
41,The Witcher 3: Wild Hunt,1.1%,06:59,5.12%,65:26,13.67‱,"Atmospheric,Open World,Fantasy,Medieval"
42,Insurgency,1.08%,01:58,6.1%,20:22,17.62‱,"Atmospheric,Shooter,Strategy"
43,Don't Starve Together,1.08%,05:26,8.38%,22:56,24.77‱,"Atmospheric,Crafting,Open World,Strategy"
44,Dead by Daylight,1.05%,09:06,2.99%,40:07,7.66‱,"Atmospheric,Stealth,Gore,Strategy"
45,SteamVR,1.03%,12:54,1.34%,39:30,3.16‱,
46,The Elder Scrolls Online,1.03%,14:50,2.86%,81:53,7.64‱,"Atmospheric,Female Protagonist,Open World,Fantasy"
47,Age of Empires II HD,1%,04:59,5.97%,37:06,15.67‱,"Remake,Medieval,City Builder,Strategy"
48,The Binding of Isaac: Rebirth,0.95%,07:09,3.64%,125:27,8.78‱,"Atmospheric,Remake,Gore"
49,Golf With Your Friends,0.92%,01:12,3.75%,08:29,9.33‱,"Sports,Strategy"
50,Europa Universalis IV,0.9%,18:22,1.89%,224:46,4.78‱,"Open World,Medieval,Diplomacy,Strategy"
