#,Game,Players_2_weeks,Hours_2_weeks,Players_total,Hours_total,Share,Tag
1,Counter-Strike: Global Offensive,54.07%,12:40,54.22%,596:23,177.41‱,"Shooter,Strategy"
2,PLAYERUNKNOWN'S BATTLEGROUNDS,8.1%,10:51,5.38%,101:40,17.68‱,"Stealth,Shooter,Strategy"
3,Euro Truck Simulator 2,6.17%,06:21,11.33%,101:02,37.68‱,"Atmospheric,Open World"
4,H1Z1,6.03%,03:41,11.31%,39:49,46.21‱,"Open World,Zombies,Shooter,Gore"
5,Team Fortress 2,4.38%,08:58,35.31%,85:34,115.33‱,"Crafting,Shooter"
6,Paladins,3.66%,05:58,16.63%,23:59,62.77‱,"Shooter,Fantasy,Anime,MOBA,Strategy"
7,Rocket League,3.55%,07:38,5.06%,99:04,16.88‱,Sports
8,Business Tour - Online Multiplayer Board Game,3.17%,02:04,13.68%,08:07,47.26‱,Strategy
9,Grand Theft Auto V,3.03%,09:14,4.03%,130:59,13.43‱,"Atmospheric,Open World,Shooter"
10,Garry's Mod,2.91%,05:54,10.97%,86:02,37.21‱,Shooter
11,Counter-Strike,2.51%,07:29,16.32%,478:07,57.32‱,"Shooter,Strategy"
12,Unturned,2.39%,07:03,27.89%,32:57,105.86‱,"Atmospheric,Crafting,Open World,Zombies,Shooter"
13,Dota 2,2.39%,22:42,18.85%,193:42,61.57‱,"Fantasy,MOBA,Strategy"
14,Spec Ops: The Line,2.31%,01:47,1.77%,03:22,17.72‱,"Atmospheric,Shooter"
15,F1 2015,2.22%,02:32,1.24%,06:05,13.21‱,Sports
16,Terraria,2.16%,08:07,6.84%,84:00,22.62‱,"Atmospheric,Crafting,Open World"
17,Crusader Kings II,2.1%,02:58,1.64%,62:44,13.54‱,"Medieval,Diplomacy,Strategy"
18,PAYDAY 2,1.96%,05:26,15.33%,39:59,68.25‱,"Stealth,Shooter,Strategy"
19,The Darkness II,1.93%,02:49,1.37%,03:51,16.15‱,"Atmospheric,Shooter,Gore"
20,Tom Clancy's Rainbow Six Siege,1.87%,13:01,1.87%,115:37,6.28‱,"Atmospheric,Shooter,Strategy"
21,War Thunder,1.82%,09:21,8.24%,51:29,41.82‱,"Open World,Shooter,Strategy"
22,SoulWorker,1.67%,12:05,1.29%,13:51,4.68‱,Anime
23,The Elder Scrolls V: Skyrim,1.61%,11:27,8.64%,108:31,29.15‱,"Atmospheric,Open World,Fantasy,Medieval"
24,Dead by Daylight,1.5%,09:23,1.59%,81:16,5.55‱,"Atmospheric,Stealth,Gore,Strategy"
25,Dying Light,1.5%,06:17,3.47%,58:09,11.54‱,"Atmospheric,Crafting,Open World,Stealth,Zombies,Shooter,Gore"
26,Warframe,1.47%,11:43,9.39%,67:01,44.47‱,"Shooter,Sci-fi"
27,Europa Universalis IV,1.44%,16:26,1.67%,266:49,5.59‱,"Open World,Medieval,Diplomacy,Strategy"
28,Left 4 Dead 2,1.41%,01:41,13.75%,31:28,49.04‱,"Zombies,Shooter,Gore"
29,Warface,1.41%,03:03,10.4%,15:15,47.7‱,"Open World,Zombies,Shooter,Strategy"
30,Hearts of Iron IV,1.36%,12:52,0.99%,137:09,3.23‱,"Open World,Diplomacy,Strategy"
31,Path of Exile,1.3%,12:04,8.17%,50:14,35.47‱,Fantasy
32,Rust,1.18%,16:10,4.85%,119:29,16.44‱,"Crafting,Open World,Shooter"
33,Mount & Blade: Warband,1.15%,03:44,4.05%,103:33,13.72‱,"Open World,Fantasy,Medieval,Strategy"
34,Don't Starve Together,1.15%,05:03,5.19%,27:51,18.84‱,"Atmospheric,Crafting,Open World,Strategy"
35,Heroes & Generals,1.15%,05:40,12.2%,14:00,50.53‱,"Atmospheric,Open World,Shooter,Strategy"
36,The Witcher 3: Wild Hunt,1.12%,11:26,2.21%,81:57,8.13‱,"Atmospheric,Open World,Fantasy,Medieval"
37,Shakes and Fidget,1.04%,19:44,4.39%,48:21,16.44‱,"Fantasy,Medieval,Strategy"
38,Cities: Skylines,1.01%,06:34,2.68%,40:42,9.11‱,"City Builder,Strategy"
39,HITMAN,0.98%,02:53,1.13%,06:50,6.9‱,"Atmospheric,Open World,Stealth,Shooter,Strategy"
40,The Forest,0.98%,04:34,3.97%,36:05,13.29‱,"Atmospheric,Crafting,Open World,Zombies,Gore"
41,Arma 3,0.92%,17:15,1.98%,152:33,6.64‱,"Open World,Shooter,Strategy"
42,The Binding of Isaac: Rebirth,0.92%,04:47,1.56%,130:54,5.12‱,"Atmospheric,Remake,Gore"
43,Sid Meier's Civilization V,0.92%,12:24,5.72%,97:38,19.89‱,"Diplomacy,Strategy"
44,Hurtworld,0.87%,13:05,2.33%,153:54,7.99‱,"Crafting,Open World,Shooter"
45,Battlerite,0.87%,02:28,2.69%,12:09,11.69‱,"Atmospheric,Fighting,MOBA,Strategy"
46,Company of Heroes 2,0.84%,04:51,3.28%,56:36,19.75‱,"Atmospheric,Strategy"
47,Brawlhalla,0.84%,04:24,5.18%,13:07,18.62‱,Fighting
48,BLOCKADE 3D,0.81%,05:20,9.95%,16:31,38.12‱,"Open World,Zombies,Shooter"
49,Bloons TD Battles,0.78%,01:42,1.99%,17:32,7.12‱,"Shooter,Strategy"
50,American Truck Simulator,0.72%,03:04,1.73%,29:40,5.77‱,"Atmospheric,Open World"
