#,Game,Players_2_weeks,Hours_2_weeks,Players_total,Hours_total,Share,Tag
1,Counter-Strike: Global Offensive,20.13%,10:26,35.28%,337:35,66.51‱,"Shooter,Strategy"
2,PLAYERUNKNOWN'S BATTLEGROUNDS,18.09%,10:45,14.45%,139:18,26.74‱,"Stealth,Shooter,Strategy"
3,Rocket League,6.33%,07:21,12.64%,102:41,24.19‱,Sports
4,Dota 2,6.26%,19:31,25.17%,351:51,46.22‱,"Fantasy,MOBA,Strategy"
5,Grand Theft Auto V,5.42%,08:16,13.76%,114:58,25.79‱,"Atmospheric,Open World,Shooter"
6,Tom Clancy's Rainbow Six Siege,5.25%,08:41,6.23%,94:43,11.77‱,"Atmospheric,Shooter,Strategy"
7,Garry's Mod,4.47%,10:38,28.34%,113:00,55.39‱,Shooter
8,Football Manager 2018,3.73%,31:52,2.76%,198:51,5.13‱,"Sports,Strategy"
9,Arma 3,3.53%,12:08,9.46%,205:51,17.85‱,"Open World,Shooter,Strategy"
10,Team Fortress 2,3.12%,09:23,41.96%,95:53,77.06‱,"Crafting,Shooter"
11,Wallpaper Engine,2.97%,02:10,3.75%,16:06,7.05‱,"Open World,Shooter,Anime,Software"
12,Sid Meier's Civilization V,2.92%,09:44,18.06%,120:54,34.99‱,"Diplomacy,Strategy"
13,Warframe,2.63%,14:23,13.08%,72:43,31.67‱,"Shooter,Sci-fi"
14,Hearts of Iron IV,2.55%,13:43,2.39%,181:16,4.49‱,"Open World,Diplomacy,Strategy"
15,Fallout 4,2.43%,11:31,10.96%,99:32,20.79‱,"Atmospheric,Open World,Shooter,Sci-fi"
16,H1Z1,2.38%,04:13,8.17%,52:30,19.75‱,"Open World,Zombies,Shooter,Gore"
17,Rust,2.36%,14:43,11.4%,97:12,22.54‱,"Crafting,Open World,Shooter"
18,Warhammer: Vermintide 2,2.36%,10:31,1.36%,25:35,2.57‱,"Atmospheric,Open World,Fantasy,Gore"
19,The Elder Scrolls V: Skyrim,2.31%,08:13,21.49%,94:41,40.91‱,"Atmospheric,Open World,Fantasy,Medieval"
20,War Thunder,2.16%,10:24,10.74%,64:50,26.85‱,"Open World,Shooter,Strategy"
21,Terraria,2.06%,09:53,16.75%,75:42,32.13‱,"Atmospheric,Crafting,Open World"
22,Far Cry 5,2.06%,17:52,0.77%,17:52,1.46‱,"Atmospheric,Female Protagonist,Open World,Stealth,Shooter"
23,Stellaris,2.04%,11:11,3.61%,111:24,7.37‱,"Atmospheric,Open World,Sci-fi,Strategy"
24,Cities: Skylines,1.99%,03:52,9.88%,41:09,19.07‱,"City Builder,Strategy"
25,Euro Truck Simulator 2,1.91%,08:09,9.32%,58:04,18.07‱,"Atmospheric,Open World"
26,Crusader Kings II,1.89%,08:31,4.31%,119:33,11.3‱,"Medieval,Diplomacy,Strategy"
27,ARK: Survival Evolved,1.84%,18:20,8.51%,139:35,16.23‱,"Crafting,Open World,Sci-fi"
28,Europa Universalis IV,1.77%,15:45,3.06%,247:29,5.94‱,"Open World,Medieval,Diplomacy,Strategy"
29,Sid Meiers Civilization VI,1.74%,08:00,4.67%,58:08,9.39‱,"Atmospheric,City Builder,Strategy"
30,Left 4 Dead 2,1.6%,02:49,23.06%,33:17,47.79‱,"Zombies,Shooter,Gore"
31,Borderlands 2,1.57%,09:46,13.2%,54:12,26.36‱,"Atmospheric,Open World,Shooter,Sci-fi"
32,Total War: WARHAMMER II,1.55%,14:39,1.99%,87:38,3.75‱,"Atmospheric,Warhammer 40K,Fantasy,Strategy"
33,The Elder Scrolls V: Skyrim Special Edition,1.52%,06:46,6.96%,31:37,21.9‱,"Atmospheric,Female Protagonist,Open World,Remake,Stealth,Fantasy"
34,SteamVR,1.47%,09:18,1.93%,29:11,3.55‱,
35,Paladins,1.37%,05:15,8.6%,20:23,18.72‱,"Shooter,Fantasy,Anime,MOBA,Strategy"
36,DARK SOULS III,1.37%,06:43,3.95%,66:23,8.58‱,"Atmospheric,Open World"
37,Brawlhalla,1.33%,08:45,6.77%,19:22,13.74‱,Fighting
38,The Binding of Isaac: Rebirth,1.3%,05:50,3.54%,112:09,6.59‱,"Atmospheric,Remake,Gore"
39,Kerbal Space Program,1.3%,07:32,5.84%,78:40,11.03‱,"Open World,Sci-fi,Strategy"
40,Killing Floor 2,1.28%,03:57,3.63%,29:49,7.57‱,"Atmospheric,Zombies,Shooter,Gore"
41,Dead by Daylight,1.23%,11:20,2.97%,61:40,6.17‱,"Atmospheric,Stealth,Gore,Strategy"
42,Insurgency,1.2%,02:44,7.98%,16:58,17.07‱,"Atmospheric,Shooter,Strategy"
43,Age of Empires II HD,1.15%,05:43,7.82%,43:15,15.58‱,"Remake,Medieval,City Builder,Strategy"
44,Battlerite,1.15%,04:30,3.07%,18:18,6.86‱,"Atmospheric,Fighting,MOBA,Strategy"
45,The Forest,1.13%,03:57,6.51%,17:55,12.51‱,"Atmospheric,Crafting,Open World,Zombies,Gore"
46,Path of Exile,1.1%,14:30,7.34%,55:27,18.08‱,Fantasy
47,PAYDAY 2,1.1%,07:12,15.65%,46:48,35.42‱,"Stealth,Shooter,Strategy"
48,Stardew Valley,1.08%,08:01,5.61%,43:15,11.03‱,"Atmospheric,Crafting,Open World"
49,Factorio,1.08%,19:04,2.6%,82:53,4.83‱,"Crafting,Open World,Sci-fi,Strategy"
50,Subnautica,1.08%,06:40,3.92%,28:31,7.69‱,"Atmospheric,Crafting,Open World,Sci-fi,VR"
