#,Game,Players (2 weeks),Hours (2 weeks),Players (total),Hours (total),Share,Tag
1,PLAYERUNKNOWN'S BATTLEGROUNDS,20.48%,11:54,16%,147:47,33.09‱,"Stealth,Shooter,Strategy"
2,Counter-Strike: Global Offensive,16.42%,09:46,31.44%,297:04,66.63‱,"Shooter,Strategy"
3,Tom Clancy's Rainbow Six Siege,7.21%,11:39,7.05%,104:48,14.86‱,"Atmospheric,Shooter,Strategy"
4,Rocket League,6.06%,09:43,11.82%,109:29,25.6‱,Sports
5,Garry's Mod,5.37%,09:47,25.49%,152:04,55.54‱,Shooter
6,Dota 2,5.1%,19:07,25.73%,286:31,52.72‱,"Fantasy,MOBA,Strategy"
7,Far Cry 5,4.7%,21:57,1.66%,21:56,3.52‱,"Atmospheric,Female Protagonist,Open World,Stealth,Shooter"
8,Team Fortress 2,4.36%,11:48,43.13%,134:07,88.39‱,"Crafting,Shooter"
9,Grand Theft Auto V,4.17%,08:47,11.01%,113:18,23.01‱,"Atmospheric,Open World,Shooter"
10,Warframe,3.34%,14:39,15.49%,97:57,40.95‱,"Shooter,Sci-fi"
11,Terraria,3.17%,09:45,18.59%,102:26,39.94‱,"Atmospheric,Crafting,Open World"
12,Warhammer: Vermintide 2,2.96%,10:37,1.76%,25:33,3.79‱,"Atmospheric,Open World,Fantasy,Gore"
13,Wallpaper Engine,2.89%,04:12,3.25%,32:08,6.79‱,"Open World,Shooter,Anime,Software"
14,Sid Meier's Civilization V,2.62%,12:45,16.79%,159:55,36.25‱,"Diplomacy,Strategy"
15,Fallout 4,2.45%,12:27,10.98%,121:16,23.35‱,"Atmospheric,Open World,Shooter,Sci-fi"
16,H1Z1,2.26%,04:17,7.54%,66:21,21.13‱,"Open World,Zombies,Shooter,Gore"
17,The Elder Scrolls V: Skyrim,2.1%,09:01,19.28%,125:26,40.97‱,"Atmospheric,Open World,Fantasy,Medieval"
18,Rust,2.08%,14:16,9.98%,116:58,21.79‱,"Crafting,Open World,Shooter"
19,Sid Meiers Civilization VI,2.02%,16:08,4.98%,89:32,11.21‱,"Atmospheric,City Builder,Strategy"
20,The Elder Scrolls V: Skyrim Special Edition,1.98%,08:09,7.36%,39:56,25.08‱,"Atmospheric,Female Protagonist,Open World,Remake,Stealth,Fantasy"
21,ARK: Survival Evolved,1.92%,23:43,9.05%,152:37,19.48‱,"Crafting,Open World,Sci-fi"
22,Left 4 Dead 2,1.9%,04:18,21.24%,44:09,49.8‱,"Zombies,Shooter,Gore"
23,Arma 3,1.84%,14:25,6.31%,172:46,13.4‱,"Open World,Shooter,Strategy"
24,War Thunder,1.77%,10:47,9.59%,57:50,26.69‱,"Open World,Shooter,Strategy"
25,Borderlands 2,1.76%,06:57,15.63%,64:28,34.63‱,"Atmospheric,Open World,Shooter,Sci-fi"
26,Path of Exile,1.7%,23:05,9.95%,71:52,26.16‱,Fantasy
27,Unturned,1.67%,07:34,22.35%,35:17,53.29‱,"Atmospheric,Crafting,Open World,Zombies,Shooter"
28,Stardew Valley,1.6%,10:03,7.46%,58:59,16.46‱,"Atmospheric,Crafting,Open World"
29,Brawlhalla,1.55%,05:21,9.01%,19:56,20.32‱,Fighting
30,Paladins,1.48%,05:56,8.46%,21:19,20.63‱,"Shooter,Fantasy,Anime,MOBA,Strategy"
31,Hearts of Iron IV,1.47%,15:58,1.55%,174:20,3.29‱,"Open World,Diplomacy,Strategy"
32,VRChat,1.46%,08:29,5.38%,08:38,12.94‱,"Open World,Anime,VR,Sports"
33,DARK SOULS III,1.43%,07:23,4.5%,75:04,10.84‱,"Atmospheric,Open World"
34,PAYDAY 2,1.42%,06:28,13.35%,54:46,33.77‱,"Stealth,Shooter,Strategy"
35,Killing Floor 2,1.39%,05:13,3.93%,32:41,9.04‱,"Atmospheric,Zombies,Shooter,Gore"
36,SteamVR,1.37%,10:47,1.97%,40:56,4.04‱,
37,Slay the Spire,1.36%,07:09,0.96%,41:17,2.02‱,Strategy
38,Crusader Kings II,1.34%,05:58,2.81%,120:16,9.17‱,"Medieval,Diplomacy,Strategy"
39,Stellaris,1.33%,13:01,3.09%,90:03,7.25‱,"Atmospheric,Open World,Sci-fi,Strategy"
40,Fallout: New Vegas,1.24%,06:24,12.04%,61:28,27.81‱,"Atmospheric,Open World,Shooter,Sci-fi"
41,Cities: Skylines,1.19%,05:26,6.05%,43:05,13.05‱,"City Builder,Strategy"
42,Stick Fight: The Game,1.19%,01:30,2.38%,05:25,5.17‱,"Shooter,Fighting,Strategy"
43,The Witcher 3: Wild Hunt,1.15%,08:16,6.09%,58:33,14.34‱,"Atmospheric,Open World,Fantasy,Medieval"
44,Battlerite,1.14%,04:55,3.8%,15:00,9.61‱,"Atmospheric,Fighting,MOBA,Strategy"
45,Insurgency,1.14%,02:51,6.7%,22:43,16.39‱,"Atmospheric,Shooter,Strategy"
46,Europa Universalis IV,1.12%,20:45,2.03%,254:11,4.58‱,"Open World,Medieval,Diplomacy,Strategy"
47,Subnautica,1.1%,06:34,4.35%,29:11,9.54‱,"Atmospheric,Crafting,Open World,Sci-fi,VR"
48,The Binding of Isaac: Rebirth,1.09%,08:19,3.87%,119:51,8.27‱,"Atmospheric,Remake,Gore"
49,SMITE,1.05%,11:35,7.34%,51:41,19.26‱,"MOBA,Strategy"
50,Dead by Daylight,0.98%,09:34,3.33%,46:06,7.54‱,"Atmospheric,Stealth,Gore,Strategy"
