Tag	Owners	Top
Atmospheric	172000	Grand Theft Auto V
City Builder	100000	Rise of Nations: Extended Edition
Crafting	145000	Team Fortress 2
Diplomacy	889000	Sid Meiers Civilization V
Experimental	30000	Thirty Flights of Loving
Fantasy	134000	BioShock Infinite
Female Protagonist	49000	Portal 2
Fighting	67000	Street Fighter IV
Gore	104000	BioShock Infinite
Kickstarter	151000	Pillars of Eternity
Medieval	287000	The Elder Scrolls V: Skyrim
VR	7000	Rez Infinite
MOBA	340000	DOTA 2
Anime	36000	OKAMI HD
Open World	283000	Grand Theft Auto V
Remake	234000	OKAMI HD
Sci-fi	123000	Half-life
Shooter	232000	Grand Theft Auto V
Software	41000	Blender
Sports	22000	Out of the Park Baseball 17
Stealth	294000	Thief Gold
Strategy	54000	Portal 2
Warhammer 40K	271000	Total War: WARHAMMER II
Zombies	132000	Half-life 2
